date,close,benchmark_close
2021-01-01,101.3769,100.1025
2021-01-04,103.5951,99.6587
2021-01-05,105.1826,99.729
2021-01-06,103.8914,100.4358
2021-01-07,102.0579,98.7065
2021-01-08,102.1777,100.4033
2021-01-11,103.3593,99.9646
2021-01-12,104.0769,99.3901
2021-01-13,106.5873,98.3746
2021-01-14,107.6651,99.3154
2021-01-15,108.5968,100.008
2021-01-18,107.6015,101.2806
2021-01-19,106.095,102.2096
2021-01-20,108.1946,102.4993
2021-01-21,108.2959,102.8571
2021-01-22,109.4773,103.8444
2021-01-25,107.5681,102.9576
2021-01-26,106.9917,102.9309
2021-01-27,105.2425,103.3454
2021-01-28,104.2178,102.8994
2021-01-29,105.4802,103.6654
2021-02-01,103.5004,103.3216
2021-02-02,102.8151,104.0399
2021-02-03,103.0652,104.2071
2021-02-04,102.204,104.7112
2021-02-05,101.9,103.1547
2021-02-08,101.637,102.2915
2021-02-09,102.2216,103.6969
2021-02-10,101.6806,103.9025
2021-02-11,102.0718,103.8388
2021-02-12,102.1778,104.8653
2021-02-15,102.7742,105.6769
2021-02-16,103.1061,105.6486
2021-02-17,105.3837,104.9924
2021-02-18,104.5098,107.0929
2021-02-19,106.1836,107.8568
2021-02-22,105.661,106.1957
2021-02-23,104.3847,107.1123
2021-02-24,106.0731,107.9602
2021-02-25,105.5004,108.8643
2021-02-26,105.0016,108.4472
2021-03-01,103.154,110.0766
2021-03-02,100.4084,109.2782
2021-03-03,101.2702,110.6318
2021-03-04,99.7776,110.9782
2021-03-05,100.8225,112.9005
2021-03-08,103.3052,112.4851
2021-03-09,103.1821,113.2939
2021-03-10,101.7124,114.278
2021-03-11,102.2656,113.9313
2021-03-12,103.3143,113.967
2021-03-15,102.9942,113.5181
2021-03-16,103.0485,114.0851
2021-03-17,104.8844,114.8963
2021-03-18,106.6561,114.5847
2021-03-19,107.6773,115.0047
2021-03-22,106.5033,114.3603
2021-03-23,106.4609,113.7887
2021-03-24,107.3308,111.6443
2021-03-25,107.0677,110.3632
2021-03-26,106.2539,109.6439
2021-03-29,105.2335,109.7845
2021-03-30,104.4037,111.4887
2021-03-31,103.5272,111.8114
2021-04-01,102.9527,111.936
2021-04-02,104.5289,112.3485
2021-04-05,103.4776,110.8071
2021-04-06,104.709,110.8829
2021-04-07,105.3106,109.9465
2021-04-08,105.5337,109.3394
2021-04-09,104.436,111.611
2021-04-12,103.8489,113.7148
2021-04-13,106.5797,114.8543
2021-04-14,106.7491,115.5028
2021-04-15,107.5309,116.1092
2021-04-16,108.4943,115.017
2021-04-19,110.0264,113.6047
2021-04-20,109.7202,114.0084
2021-04-21,108.8859,113.5224
2021-04-22,108.8342,112.6666
2021-04-23,108.4983,112.5987
2021-04-26,109.6522,112.5396
2021-04-27,109.9558,112.7753
2021-04-28,110.3315,111.9667
2021-04-29,110.5728,112.0085
2021-04-30,112.3864,110.651
2021-05-03,111.6299,112.0393
2021-05-04,110.9711,113.7772
2021-05-05,112.2891,112.55
2021-05-06,112.1675,113.0546
2021-05-07,112.7288,112.8276
2021-05-10,111.699,112.9786
2021-05-11,111.7665,113.0722
2021-05-12,112.4294,114.4523
2021-05-13,110.539,115.1103
2021-05-14,109.5778,114.1377
2021-05-17,110.2151,114.2521
2021-05-18,113.5188,114.2548
2021-05-19,114.2374,113.3691
2021-05-20,114.1842,113.6237
2021-05-21,112.9703,113.6206
2021-05-24,113.581,115.1986
2021-05-25,109.9799,115.0054
2021-05-26,109.9421,115.5367
2021-05-27,109.5041,112.9912
2021-05-28,108.7998,111.1337
2021-05-31,112.1654,111.5202
2021-06-01,108.6485,111.6866
2021-06-02,108.6497,112.7288
2021-06-03,108.7798,111.4596
2021-06-04,109.4755,111.1648
2021-06-07,107.2517,108.4501
2021-06-08,106.6351,107.5681
2021-06-09,104.6134,107.1244
2021-06-10,104.4713,107.0421
2021-06-11,104.7692,106.4712
2021-06-14,105.0249,107.5134
2021-06-15,104.7864,105.9892
2021-06-16,105.0715,104.6589
2021-06-17,105.3456,105.1628
2021-06-18,105.9336,104.7858
2021-06-21,106.0001,106.217
2021-06-22,103.6027,106.9729
2021-06-23,102.5419,107.3508
2021-06-24,103.0346,105.5475
2021-06-25,101.853,104.9186
2021-06-28,100.8315,105.2212
2021-06-29,101.0105,104.5668
2021-06-30,100.981,104.8833
2021-07-01,102.1918,105.2187
2021-07-02,102.905,104.3685
2021-07-05,102.3552,103.2333
2021-07-06,102.5381,104.2577
2021-07-07,98.8269,104.329
2021-07-08,97.837,104.4072
2021-07-09,97.679,105.437
2021-07-12,94.7226,107.3018
2021-07-13,94.3547,104.3501
2021-07-14,94.6922,105.9003
2021-07-15,96.0037,106.984
2021-07-16,96.5368,106.6894
2021-07-19,98.9604,107.977
2021-07-20,100.976,107.9085
2021-07-21,98.8829,109.6677
2021-07-22,98.6223,110.9464
2021-07-23,98.4518,111.4273
2021-07-26,98.5988,110.7579
2021-07-27,97.8968,110.8769
2021-07-28,98.7063,109.9324
2021-07-29,99.6969,109.1852
2021-07-30,97.7701,109.4036
2021-08-02,99.0088,109.2854
2021-08-03,98.2083,108.5803
2021-08-04,99.5961,110.4078
2021-08-05,100.36,109.8206
2021-08-06,100.2199,109.8107
2021-08-09,102.875,109.8299
2021-08-10,104.1037,107.4716
2021-08-11,104.1787,110.3426
2021-08-12,104.5478,109.7307
2021-08-13,107.9147,110.5661
2021-08-16,109.9542,108.2354
2021-08-17,111.3535,108.0756
2021-08-18,111.699,106.3401
2021-08-19,112.553,105.8228
2021-08-20,112.8043,107.1919
2021-08-23,110.622,108.0541
2021-08-24,111.9366,108.7478
2021-08-25,112.5756,109.3156
2021-08-26,110.6494,107.4352
2021-08-27,109.7622,106.2392
2021-08-30,109.4418,106.8422
2021-08-31,109.9392,108.3263
2021-09-01,112.4718,108.8417
2021-09-02,112.5315,109.4848
2021-09-03,109.7601,110.1052
2021-09-06,110.7244,110.8992
2021-09-07,110.5159,111.4561
