date,close,return_1d,log_return,ma_10,price_to_ma_10,zscore_10,ma_20,price_to_ma_20,zscore_20,ma_60,price_to_ma_60,zscore_60,momentum_10,momentum_20,momentum_60,vol_20,drawdown_from_high_20,vol_60,drawdown_from_high_60,regime_vol,vol_regime
2021-01-01,100.386405,,,,,,,,,,,,,,,,0.0,,0.0,,
2021-01-04,99.161217,-0.012205,-0.01228,,,,,,,,,,,,,,-0.012205,,-0.012205,,
2021-01-05,100.078252,0.009248,0.009205,,,,,,,,,,,,,,-0.00307,,-0.00307,,
2021-01-06,101.234456,0.011553,0.011487,,,,,,,,,,,,,,0.0,,0.0,,
2021-01-07,98.911623,-0.022945,-0.023212,,,,,,,,,,,,,,-0.022945,,-0.022945,,
2021-01-08,97.397505,-0.015308,-0.015426,,,,,,,,,,,,,,-0.037902,,-0.037902,,
2021-01-11,97.566547,0.001736,0.001734,,,,,,,,,,,,,,-0.036232,,-0.036232,,
2021-01-12,97.216434,-0.003588,-0.003595,,,,,,,,,,,,,,-0.03969,,-0.03969,,
2021-01-13,97.216277,-2e-06,-2e-06,,,,,,,,,,,,,,-0.039692,,-0.039692,,
2021-01-14,96.245443,-0.009986,-0.010037,98.541416,-0.0233,-1.46441,,,,,,,,,,,-0.049282,,-0.049282,,
2021-01-15,97.285933,0.010811,0.010753,98.231369,-0.009625,-0.640441,,,,,,,-0.030885,,,,-0.039004,,-0.039004,,
2021-01-18,98.217844,0.009579,0.009534,98.137031,0.000823,0.055981,,,,,,,-0.009514,,,,-0.029798,,-0.029798,,
2021-01-19,98.31536,0.000993,0.000992,97.960742,0.00362,0.273662,,,,,,,-0.017615,,,,-0.028835,,-0.028835,,
2021-01-20,99.67423,0.013822,0.013727,97.80472,0.019115,1.99664,,,,,,,-0.015412,,,,-0.015412,,-0.015412,,
2021-01-21,100.255034,0.005827,0.00581,97.939061,0.023647,2.003281,,,,,,,0.013582,,,,-0.009675,,-0.009675,,
2021-01-22,99.246413,-0.010061,-0.010112,98.123952,0.011439,0.934105,,,,,,,0.018983,,,,-0.019638,,-0.019638,,
2021-01-25,99.706491,0.004636,0.004625,98.337946,0.013917,1.076052,,,,,,,0.021933,,,,-0.015093,,-0.015093,,
2021-01-26,98.5855,-0.011243,-0.011307,98.474853,0.001124,0.090978,,,,,,,0.014083,,,,-0.026167,,-0.026167,,
2021-01-27,99.650154,0.010799,0.010741,98.71824,0.00944,0.787716,,,,,,,0.025036,,,,-0.01565,,-0.01565,,
2021-01-28,99.610391,-0.000399,-0.000399,99.054735,0.00561,0.639691,98.798075,0.008222,0.628173,,,,0.034962,,,,-0.016043,,-0.016043,,
2021-01-29,99.409545,-0.002016,-0.002018,99.267096,0.001435,0.2227,98.749232,0.006687,0.528271,,,,0.021829,-0.009731,,0.010112,-0.018027,,-0.018027,,
2021-02-01,98.620286,-0.007939,-0.007971,99.307341,-0.006918,-1.179557,98.722186,-0.001032,-0.081743,,,,0.004097,-0.005455,,0.009905,-0.025823,,-0.025823,,
2021-02-02,100.097777,0.014982,0.01487,99.485582,0.006154,1.174746,98.723162,0.013924,1.101754,,,,0.01813,0.000195,,0.010251,-0.011228,,-0.011228,,
2021-02-03,99.932317,-0.001653,-0.001654,99.511391,0.00423,0.785293,98.658055,0.012916,1.113246,,,,0.002589,-0.012863,,0.00991,-0.003219,,-0.012863,,
2021-02-04,99.439875,-0.004928,-0.00494,99.429875,0.000101,0.021041,98.684468,0.007655,0.653343,,,,-0.008131,0.005341,,0.008565,-0.008131,,-0.017727,,
2021-02-05,99.040374,-0.004018,-0.004026,99.409271,-0.003711,-0.757351,98.766611,0.002772,0.244508,,,,-0.002076,0.016868,,0.007861,-0.012116,,-0.021673,,
2021-02-08,99.694977,0.006609,0.006588,99.40812,0.002886,0.58976,98.873033,0.008313,0.746183,,,,-0.000115,0.021815,,0.007959,-0.005586,,-0.015207,,
2021-02-09,100.153161,0.004596,0.004585,99.564886,0.005908,1.315934,99.019869,0.011445,1.063043,,,,0.015902,0.030208,,0.007917,-0.001016,,-0.010681,,
2021-02-10,100.670561,0.005166,0.005153,99.666926,0.01007,1.799804,99.192583,0.0149,1.421991,,,,0.01024,0.035532,,0.007947,0.0,,-0.00557,,
2021-02-11,101.212601,0.005384,0.00537,99.827148,0.013879,1.914154,99.440941,0.017816,1.995353,,,,0.016085,0.051609,,0.007503,0.0,,-0.000216,,
2021-02-12,103.868226,0.026238,0.0259,100.273016,0.035854,2.580764,99.770056,0.041076,3.429608,,,,0.044852,0.067659,,0.008964,0.0,,0.0,,
2021-02-15,103.383571,-0.004666,-0.004677,100.749344,0.026146,1.697493,100.028342,0.033543,2.438267,,,,0.048299,0.052595,,0.009004,-0.004666,,-0.004666,,
2021-02-16,102.770582,-0.005929,-0.005947,101.016625,0.017363,1.066865,100.251103,0.025132,1.749795,,,,0.026702,0.045316,,0.00919,-0.010568,,-0.010568,,
2021-02-17,101.79224,-0.00952,-0.009565,101.202617,0.005826,0.36491,100.357004,0.014301,0.975622,,,,0.018612,0.021249,,0.00913,-0.019987,,-0.019987,,
2021-02-18,102.567963,0.007621,0.007592,101.515426,0.010368,0.681019,100.47265,0.020855,1.354028,,,,0.031457,0.02307,,0.009185,-0.012518,,-0.012518,,
2021-02-19,103.98777,0.013843,0.013748,102.010165,0.019386,1.351054,100.709718,0.03255,1.931251,,,,0.049953,0.047774,,0.009199,0.0,,0.0,,
2021-02-22,103.866449,-0.001167,-0.001167,102.427312,0.01405,1.079552,100.917716,0.029219,1.626744,,,,0.041842,0.041722,,0.009215,-0.001167,,-0.001167,,
2021-02-23,102.845108,-0.009833,-0.009882,102.696507,0.001447,0.135375,101.130696,0.016952,0.965325,,,,0.026878,0.043207,,0.009117,-0.010988,,-0.010988,,
2021-02-24,101.852967,-0.009647,-0.009694,102.814748,-0.009355,-1.042179,101.240837,0.006046,0.350017,,,,0.011745,0.022105,,0.009237,-0.020529,,-0.020529,,
2021-02-25,102.671789,0.008039,0.008007,102.960666,-0.002806,-0.38072,101.393907,0.012603,0.737228,,,,0.014417,0.030734,,0.009349,-0.012655,,-0.012655,,
2021-02-26,103.61234,0.009161,0.009119,102.935078,0.00658,0.925784,101.604047,0.019766,1.157644,,,,-0.002464,0.042278,,0.009452,-0.00361,,-0.00361,,
2021-03-01,104.310736,0.00674,0.006718,103.027794,0.012452,1.538133,101.888569,0.023773,1.434823,,,,0.008968,0.057701,,0.00921,0.0,,0.0,,
2021-03-02,103.501714,-0.007756,-0.007786,103.100908,0.003888,0.476946,102.058766,0.014138,0.863781,,,,0.007114,0.034006,,0.009044,-0.007756,,-0.007756,,
2021-03-03,103.811225,0.00299,0.002986,103.302806,0.004922,0.68892,102.252712,0.015242,0.951937,,,,0.019834,0.038815,,0.009014,-0.004789,,-0.004789,,
2021-03-04,103.97748,0.001602,0.0016,103.443758,0.00516,0.742796,102.479592,0.014616,0.97051,,,,0.013742,0.045632,,0.008876,-0.003195,,-0.003195,,
2021-03-05,104.271555,0.002828,0.002824,103.472136,0.007726,1.073639,102.741151,0.014896,1.115324,,,,0.002729,0.052819,,0.008758,-0.000376,,-0.000376,,
2021-03-08,105.388734,0.010714,0.010657,103.624365,0.017027,1.8776,103.025839,0.022935,1.818524,,,,0.014656,0.057112,,0.008897,0.0,,0.0,,
2021-03-09,105.693024,0.002887,0.002883,103.909156,0.017168,1.6498,103.302832,0.023138,1.916969,,,,0.027691,0.055314,,0.008887,0.0,,0.0,,
2021-03-10,106.578932,0.008382,0.008347,104.381753,0.021049,1.976507,103.59825,0.028772,2.31514,,,,0.0464,0.05869,,0.008959,0.0,,0.0,,
2021-03-11,106.686732,0.001011,0.001011,104.783247,0.018166,1.660892,103.871957,0.027099,2.112707,,,,0.039105,0.054085,,0.008949,0.0,,0.0,,
2021-03-12,107.078931,0.003676,0.003669,105.129906,0.018539,1.548993,104.032492,0.029284,2.024892,,,,0.033457,0.030911,,0.007148,0.0,,0.0,,
2021-03-15,107.914764,0.007806,0.007775,105.490309,0.022983,1.648965,104.259052,0.035064,2.130345,,,,0.034551,0.043829,,0.007123,0.0,,0.0,,
2021-03-16,106.065394,-0.017137,-0.017286,105.746677,0.003014,0.242061,104.423792,0.015721,0.952562,,,,0.024769,0.03206,,0.008111,-0.017137,,-0.017137,,
2021-03-17,105.680434,-0.003629,-0.003636,105.933598,-0.00239,-0.219972,104.618202,0.010153,0.650703,,,,0.018006,0.038197,,0.007802,-0.020705,,-0.020705,,
2021-03-18,105.106624,-0.00543,-0.005444,106.046512,-0.008863,-0.941044,104.745135,0.003451,0.230923,,,,0.01086,0.024751,,0.007843,-0.026022,,-0.026022,,
2021-03-19,104.324764,-0.007439,-0.007467,106.051833,-0.016285,-1.745572,104.761985,-0.004173,-0.280456,,,,0.00051,0.003241,,0.007499,-0.033267,,-0.033267,,
2021-03-22,104.001681,-0.003097,-0.003102,105.913128,-0.018047,-1.653699,104.768746,-0.007322,-0.493177,,,,-0.013161,0.001302,,0.007528,-0.036261,,-0.036261,,
2021-03-23,105.905412,0.018305,0.018139,105.934367,-0.000273,-0.0251,104.921762,0.009375,0.652111,,,,0.002009,0.029756,,0.008145,-0.01862,,-0.01862,,
2021-03-24,104.831718,-0.010138,-0.01019,105.759645,-0.008774,-0.789837,105.070699,-0.002274,-0.178991,,,,-0.016394,0.029246,,0.008179,-0.028569,,-0.028569,,
2021-03-25,106.078111,0.011889,0.011819,105.698783,0.003589,0.3326,105.241015,0.007954,0.679725,101.810999,0.041912,1.416869,-0.005705,0.033177,,0.008375,-0.017019,,-0.017019,,
2021-03-26,103.978202,-0.019796,-0.019994,105.38871,-0.013384,-1.232302,105.259308,-0.012171,-1.059014,101.870863,0.020686,0.698158,-0.028957,0.003531,0.03578,0.009395,-0.036478,0.009719,-0.036478,0.009719,low
2021-03-29,103.581906,-0.003811,-0.003819,104.955425,-0.013087,-1.525415,105.222867,-0.015595,-1.314756,101.944541,0.016061,0.544824,-0.040151,-0.006987,0.044581,0.00931,-0.040151,0.009593,-0.040151,0.009593,low
2021-03-30,103.805162,0.002155,0.002153,104.729401,-0.008825,-1.054103,105.238039,-0.013616,-1.166087,102.006656,0.017631,0.598582,-0.02131,0.002932,0.03724,0.009163,-0.038082,0.009531,-0.038082,0.009531,low
2021-03-31,104.558881,0.007261,0.007235,104.617246,-0.000558,-0.071375,105.275422,-0.006806,-0.599243,102.062063,0.024464,0.826632,-0.010613,0.007202,0.032839,0.009275,-0.031098,0.009465,-0.031098,0.009465,low
2021-04-01,105.476174,0.008773,0.008735,104.654201,0.007854,0.970644,105.350357,0.001194,0.10861,102.171472,0.032345,1.093091,0.003516,0.014414,0.066368,0.009451,-0.022597,0.009011,-0.022597,0.009011,low
